PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34500451","Parkinson's Disease and Gut Microbiota","Hirayama M, Ohno K.","Ann Nutr Metab. 2021;77 Suppl 2:28-35. doi: 10.1159/000518147. Epub 2021 Sep 9.","Hirayama M","Ann Nutr Metab","2021","2021/09/09","","","10.1159/000518147"
"33337387","Does Gut Microbiota Influence the Course of Parkinson's Disease? A 3-Year Prospective Exploratory Study in de novo Patients","Cilia R, Piatti M, Cereda E, Bolliri C, Caronni S, Ferri V, Cassani E, Bonvegna S, Ferrarese C, Zecchinelli AL, Barichella M, Pezzoli G.","J Parkinsons Dis. 2021;11(1):159-170. doi: 10.3233/JPD-202297.","Cilia R","J Parkinsons Dis","2021","2020/12/18","","","10.3233/JPD-202297"
"33418492","Gut microbiota-derived metabolite trimethylamine N-oxide as a biomarker in early Parkinson's disease","Chung SJ, Rim JH, Ji D, Lee S, Yoo HS, Jung JH, Baik K, Choi Y, Ye BS, Sohn YH, Yun M, Lee SG, Lee PH.","Nutrition. 2021 Mar;83:111090. doi: 10.1016/j.nut.2020.111090. Epub 2020 Nov 21.","Chung SJ","Nutrition","2021","2021/01/08","","","10.1016/j.nut.2020.111090"
"34219519","The Role of The Gut Microbiome in Parkinson's Disease","Gallop A, Weagley J, Paracha SU, Grossberg G.","J Geriatr Psychiatry Neurol. 2021 Jul;34(4):253-262. doi: 10.1177/08919887211018268.","Gallop A","J Geriatr Psychiatry Neurol","2021","2021/07/05","","","10.1177/08919887211018268"
"34032644","Gut Microbiota as a Mediator of Host Neuro-Immune Interactions: Implications in Neuroinflammatory Disorders","Caputi V, Popov J, Giron MC, O Apos Mahony S.","Mod Trends Psychiatry. 2021;32:40-57. doi: 10.1159/000510416. Epub 2021 May 6.","Caputi V","Mod Trends Psychiatry","2021","2021/05/25","","","10.1159/000510416"
"33510784","Fecal Microbiota Transplantation: A New Therapeutic Attempt from the Gut to the Brain","Xu HM, Huang HL, Zhou YL, Zhao HL, Xu J, Shou DW, Liu YD, Zhou YJ, Nie YQ.","Gastroenterol Res Pract. 2021 Jan 16;2021:6699268. doi: 10.1155/2021/6699268. eCollection 2021.","Xu HM","Gastroenterol Res Pract","2021","2021/01/29","PMC7826222","","10.1155/2021/6699268"
"34473437","Gastrointestinal Status and Microbiota Shaping in Amyotrophic Lateral Sclerosis: A New Frontier for Targeting?","Mazzini L, De Marchi F, Niccolai E, Mandrioli J, Amedei A.","In: Araki T, editor. Amyotrophic Lateral Sclerosis [Internet]. Brisbane (AU): Exon Publications; 2021 Jul 25. Chapter 8.","Mazzini L","Amyotrophic Lateral Sclerosis","2021","2021/07/25","","","10.36255/exonpublications.amyotrophiclateralsclerosis.microbiota.2021"
"34360787","Parkinson's Disease: A Prionopathy?","Vascellari S, Manzin A.","Int J Mol Sci. 2021 Jul 27;22(15):8022. doi: 10.3390/ijms22158022.","Vascellari S","Int J Mol Sci","2021","2021/08/07","PMC8347681","","10.3390/ijms22158022"
"33400024","Is Gut Dysbiosis an Epicenter of Parkinson's Disease?","Rajput C, Sarkar A, Sachan N, Rawat N, Singh MP.","Neurochem Res. 2021 Mar;46(3):425-438. doi: 10.1007/s11064-020-03187-9. Epub 2021 Jan 5.","Rajput C","Neurochem Res","2021","2021/01/05","","","10.1007/s11064-020-03187-9"
"34381040","Genetic and environmental factors in Alzheimer's and Parkinson's diseases and promising therapeutic intervention via fecal microbiota transplantation","Wang H, Yang F, Zhang S, Xin R, Sun Y.","NPJ Parkinsons Dis. 2021 Aug 11;7(1):70. doi: 10.1038/s41531-021-00213-7.","Wang H","NPJ Parkinsons Dis","2021","2021/08/12","PMC8357954","","10.1038/s41531-021-00213-7"
"33262001","Molecular imaging of microbiota-gut-brain axis: searching for the right targeted probe for the right target and disease","Giron MC, Mazzi U.","Nucl Med Biol. 2021 Jan;92:72-77. doi: 10.1016/j.nucmedbio.2020.11.002. Epub 2020 Nov 19.","Giron MC","Nucl Med Biol","2021","2020/12/02","","","10.1016/j.nucmedbio.2020.11.002"
"33338469","Gut-Brain axis in Parkinson's disease etiology: The role of lipopolysaccharide","Bhattacharyya D, Bhunia A.","Chem Phys Lipids. 2021 Mar;235:105029. doi: 10.1016/j.chemphyslip.2020.105029. Epub 2020 Dec 15.","Bhattacharyya D","Chem Phys Lipids","2021","2020/12/18","","","10.1016/j.chemphyslip.2020.105029"
"33549028","A narrative review of relationship between gut microbiota and neuropsychiatric disorders: mechanisms and clinical application of probiotics and prebiotics","Yang H, Liu Y, Cai R, Li Y, Gu B.","Ann Palliat Med. 2021 Feb;10(2):2304-2313. doi: 10.21037/apm-20-1365. Epub 2021 Jan 28.","Yang H","Ann Palliat Med","2021","2021/02/07","","","10.21037/apm-20-1365"
"34357086","Microbiota Gut-Brain Axis in Ischemic Stroke: A Narrative Review with a Focus about the Relationship with Inflammatory Bowel Disease","Sinagra E, Pellegatta G, Guarnotta V, Maida M, Rossi F, Conoscenti G, Pallio S, Alloro R, Raimondo D, Pace F, Anderloni A.","Life (Basel). 2021 Jul 19;11(7):715. doi: 10.3390/life11070715.","Sinagra E","Life (Basel)","2021","2021/08/06","PMC8305026","","10.3390/life11070715"
"34346706","Gut Microbiome and Serum Metabolome Alterations Associated with Isolated Dystonia","Ma L, Keng J, Cheng M, Pan H, Feng B, Hu Y, Feng T, Yang F.","mSphere. 2021 Aug 25;6(4):e0028321. doi: 10.1128/mSphere.00283-21. Epub 2021 Aug 4.","Ma L","mSphere","2021","2021/08/04","PMC8386414","","10.1128/mSphere.00283-21"
"33470765","The gut microbiota metabolite propionate ameliorates intestinal epithelial barrier dysfunction-mediated Parkinson's disease via the AKT signaling pathway","Huang T, Shi H, Xu Y, Ji L.","Neuroreport. 2021 Feb 3;32(3):244-251. doi: 10.1097/WNR.0000000000001585.","Huang T","Neuroreport","2021","2021/01/20","","","10.1097/WNR.0000000000001585"
"33488420","Bibliometric and Visual Analysis of Research on the Links Between the Gut Microbiota and Depression From 1999 to 2019","Zhu X, Hu J, Deng S, Tan Y, Qiu C, Zhang M, Ni X, Lu H, Wang Z, Li L, Chen H, Huang S, Xiao T, Shang D, Wen Y.","Front Psychiatry. 2021 Jan 8;11:587670. doi: 10.3389/fpsyt.2020.587670. eCollection 2020.","Zhu X","Front Psychiatry","2021","2021/01/25","PMC7819979","","10.3389/fpsyt.2020.587670"
"34495955","Gut microbiota alterations in response to sleep length among African-origin adults","Fei N, Choo-Kang C, Reutrakul S, Crowley SJ, Rae D, Bedu-Addo K, Plange-Rhule J, Forrester TE, Lambert EV, Bovet P, Riesen W, Korte W, Luke A, Layden BT, Gilbert JA, Dugas LR.","PLoS One. 2021 Sep 8;16(9):e0255323. doi: 10.1371/journal.pone.0255323. eCollection 2021.","Fei N","PLoS One","2021","2021/09/08","PMC8425534","","10.1371/journal.pone.0255323"
"34974121","Gut microbiota modulation by prednisolone in a rat kindling model of pentylenetetrazol (PTZ)-induced seizure","de Lima AMDL, de Lima Rosa G, Müller Guzzo EF, Padilha RB, Costa da Silva R, Silveira AK, de Lima Morales D, Conci de Araujo M, Fonseca Moreira JC, Barth AL, Coitinho AS, Van Der Sand ST.","Microb Pathog. 2022 Feb;163:105376. doi: 10.1016/j.micpath.2021.105376. Epub 2021 Dec 30.","de Lima AMDL","Microb Pathog","2022","2022/01/02","","","10.1016/j.micpath.2021.105376"
"36072680","Dietary Modification for the Restoration of Gut Microbiome and Management of Symptoms in Irritable Bowel Syndrome","Thomas A, Thomas A, Butler-Sanchez M.","Am J Lifestyle Med. 2021 May 10;16(5):608-621. doi: 10.1177/15598276211012968. eCollection 2022 Sep-Oct.","Thomas A","Am J Lifestyle Med","2021","2022/09/08","PMC9442469","","10.1177/15598276211012968"
"34776854","Changes in the Gut Microbiome and Predicted Functional Metabolic Effects in an Australian Parkinson's Disease Cohort","Kenna JE, Chua EG, Bakeberg M, Tay A, McGregor S, Gorecki A, Horne M, Marshall B, Mastaglia FL, Anderton RS.","Front Neurosci. 2021 Oct 29;15:756951. doi: 10.3389/fnins.2021.756951. eCollection 2021.","Kenna JE","Front Neurosci","2021","2021/11/15","PMC8588830","","10.3389/fnins.2021.756951"
"34560239","Regulation of neurotoxicity in the striatum and colon of MPTP-induced Parkinson's disease mice by gut microbiome","Shan J, Qu Y, Wang S, Wei Y, Chang L, Ma L, Hashimoto K.","Brain Res Bull. 2021 Dec;177:103-110. doi: 10.1016/j.brainresbull.2021.09.009. Epub 2021 Sep 22.","Shan J","Brain Res Bull","2021","2021/09/24","","","10.1016/j.brainresbull.2021.09.009"
"34908715","Gut-brain axis: Synergistic approach","Sharma M, Prakash J, Yadav P, Srivastava K, Chatterjee K.","Ind Psychiatry J. 2021 Oct;30(Suppl 1):S297-S300. doi: 10.4103/0972-6748.328835. Epub 2021 Oct 22.","Sharma M","Ind Psychiatry J","2021","2021/12/15","PMC8611583","","10.4103/0972-6748.328835"
"34893951","Potential Role of Akkermansia muciniphila in Parkinson's Disease and Other Neurological/Autoimmune Diseases","Fang X, Li FJ, Hong DJ.","Curr Med Sci. 2021 Dec;41(6):1172-1177. doi: 10.1007/s11596-021-2464-5. Epub 2021 Dec 10.","Fang X","Curr Med Sci","2021","2021/12/11","","","10.1007/s11596-021-2464-5"
"33404072","Role of pattern recognition receptors and the microbiota in neurological disorders","Keogh CE, Rude KM, Gareau MG.","J Physiol. 2021 Mar;599(5):1379-1389. doi: 10.1113/JP279771. Epub 2021 Jan 13.","Keogh CE","J Physiol","2021","2021/01/06","PMC8221416","NIHMS1713016","10.1113/JP279771"
"33985520","Evaluation of fecal microbiota transplantation in Parkinson's disease patients with constipation","Kuai XY, Yao XH, Xu LJ, Zhou YQ, Zhang LP, Liu Y, Pei SF, Zhou CL.","Microb Cell Fact. 2021 May 13;20(1):98. doi: 10.1186/s12934-021-01589-0.","Kuai XY","Microb Cell Fact","2021","2021/05/14","PMC8120701","","10.1186/s12934-021-01589-0"
"33657381","Systematic analysis of gut microbiome reveals the role of bacterial folate and homocysteine metabolism in Parkinson's disease","Rosario D, Bidkhori G, Lee S, Bedarf J, Hildebrand F, Le Chatelier E, Uhlen M, Ehrlich SD, Proctor G, Wüllner U, Mardinoglu A, Shoaie S.","Cell Rep. 2021 Mar 2;34(9):108807. doi: 10.1016/j.celrep.2021.108807.","Rosario D","Cell Rep","2021","2021/03/03","","","10.1016/j.celrep.2021.108807"
"34053222","Development of an Efficient and Sensitive Chemical Derivatization-Based LC-MS/MS Method for Quantifying Gut Microbiota-Derived Metabolites in Human Plasma and Its Application in Studying Cardiovascular Disease","Liao HY, Wang CY, Lee CH, Kao HL, Wu WK, Kuo CH.","J Proteome Res. 2021 Jul 2;20(7):3508-3518. doi: 10.1021/acs.jproteome.1c00147. Epub 2021 May 31.","Liao HY","J Proteome Res","2021","2021/05/31","","","10.1021/acs.jproteome.1c00147"
"32865266","Leveraging sequence-based faecal microbial community survey data to identify alterations in gut microbiota among patients with Parkinson's disease","Ji T, Huang H, Liu J, Peng T, Zhou X, Tan Q, Yuan J, Hua H, Ding S, Liu H.","Eur J Neurosci. 2021 Jan;53(2):687-696. doi: 10.1111/ejn.14952. Epub 2020 Sep 15.","Ji T","Eur J Neurosci","2021","2020/09/01","","","10.1111/ejn.14952"
"34276644","Altered Actinobacteria and Firmicutes Phylum Associated Epitopes in Patients With Parkinson's Disease","Li Z, Lu G, Li Z, Wu B, Luo E, Qiu X, Guo J, Xia Z, Zheng C, Su Q, Zeng Y, Chan WY, Su X, Cai Q, Xu Y, Chen Y, Wang M, Poon WS, Luo X.","Front Immunol. 2021 Jul 2;12:632482. doi: 10.3389/fimmu.2021.632482. eCollection 2021.","Li Z","Front Immunol","2021","2021/07/19","PMC8284394","","10.3389/fimmu.2021.632482"
"33633723","Helicobacter and the Potential Role in Neurological Disorders: There Is More Than Helicobacter pylori","Gorlé N, Bauwens E, Haesebrouck F, Smet A, Vandenbroucke RE.","Front Immunol. 2021 Jan 28;11:584165. doi: 10.3389/fimmu.2020.584165. eCollection 2020.","Gorlé N","Front Immunol","2021","2021/02/26","PMC7901999","","10.3389/fimmu.2020.584165"
"33692356","Meta-analysis of the Parkinson's disease gut microbiome suggests alterations linked to intestinal inflammation","Romano S, Savva GM, Bedarf JR, Charles IG, Hildebrand F, Narbad A.","NPJ Parkinsons Dis. 2021 Mar 10;7(1):27. doi: 10.1038/s41531-021-00156-z.","Romano S","NPJ Parkinsons Dis","2021","2021/03/11","PMC7946946","","10.1038/s41531-021-00156-z"
"33912026","Colonic Dopaminergic Neurons Changed Reversely With Those in the Midbrain via Gut Microbiota-Mediated Autophagy in a Chronic Parkinson's Disease Mice Model","Liu X, Du ZR, Wang X, Luk KH, Chan CH, Cao X, Zhao Q, Zhao F, Wong WT, Wong KH, Dong XL.","Front Aging Neurosci. 2021 Apr 12;13:649627. doi: 10.3389/fnagi.2021.649627. eCollection 2021.","Liu X","Front Aging Neurosci","2021","2021/04/29","PMC8071868","","10.3389/fnagi.2021.649627"
"33557583","Electroacupuncture may alleviate behavioral defects via modulation of gut microbiota in a mouse model of Parkinson's disease","Han QQ, Fu Y, Le JM, Pilot A, Cheng S, Chen PQ, Wu H, Wan GQ, Gu XF.","Acupunct Med. 2021 Oct;39(5):501-511. doi: 10.1177/0964528421990658. Epub 2021 Feb 8.","Han QQ","Acupunct Med","2021","2021/02/09","","","10.1177/0964528421990658"
"34569965","Drosophila as a Model for Microbiota Studies of Neurodegeneration","Kitani-Morii F, Friedland RP, Yoshida H, Mizuno T.","J Alzheimers Dis. 2021;84(2):479-490. doi: 10.3233/JAD-215031.","Kitani-Morii F","J Alzheimers Dis","2021","2021/09/27","PMC8673522","","10.3233/JAD-215031"
"33889128","Impact of Subthalamic Deep Brain Stimulation on Hyposmia in Patients With Parkinson's Disease Is Influenced by Constipation and Dysbiosis of Microbiota","Li C, Hou Y, Wang X, Li YX, Li F, Zhang C, Li WG.","Front Neurol. 2021 Apr 6;12:653833. doi: 10.3389/fneur.2021.653833. eCollection 2021.","Li C","Front Neurol","2021","2021/04/23","PMC8056012","","10.3389/fneur.2021.653833"
"34128115","The impact of device-assisted therapies on the gut microbiome in Parkinson's disease","Lubomski M, Xu X, Holmes AJ, Yang JYH, Sue CM, Davis RL.","J Neurol. 2022 Feb;269(2):780-795. doi: 10.1007/s00415-021-10657-9. Epub 2021 Jun 15.","Lubomski M","J Neurol","2022","2021/06/15","","","10.1007/s00415-021-10657-9"
"33719004","Intragastric Administration of Casein Leads to Nigrostriatal Disease Progressed Accompanied with Persistent Nigrostriatal-Intestinal Inflammation Activited and Intestinal Microbiota-Metabolic Disorders Induced in MPTP Mouse Model of Parkinson's Disease","Liu X, Liu S, Tang Y, Pu Z, Xiao H, Gao J, Yin Q, Jia Y, Bai Q.","Neurochem Res. 2021 Jun;46(6):1514-1539. doi: 10.1007/s11064-021-03293-2. Epub 2021 Mar 15.","Liu X","Neurochem Res","2021","2021/03/15","","","10.1007/s11064-021-03293-2"
"34171417","The neuromicrobiology of Parkinson's disease: A unifying theory","Munoz-Pinto MF, Empadinhas N, Cardoso SM.","Ageing Res Rev. 2021 Sep;70:101396. doi: 10.1016/j.arr.2021.101396. Epub 2021 Jun 23.","Munoz-Pinto MF","Ageing Res Rev","2021","2021/06/25","","","10.1016/j.arr.2021.101396"
"34652580","Introduction to the Special Issue ""The Brain-Gut Axis""","Taché Y, Saavedra JM.","Cell Mol Neurobiol. 2022 Mar;42(2):311-313. doi: 10.1007/s10571-021-01155-7. Epub 2021 Oct 15.","Taché Y","Cell Mol Neurobiol","2022","2021/10/15","","","10.1007/s10571-021-01155-7"
"34785689","Cholecystectomy and subsequent risk of Parkinson's disease: a nationwide retrospective cohort study","Kim R, Lee JY, Park S, Han K, Shin CM.","NPJ Parkinsons Dis. 2021 Nov 16;7(1):100. doi: 10.1038/s41531-021-00245-z.","Kim R","NPJ Parkinsons Dis","2021","2021/11/17","PMC8595409","","10.1038/s41531-021-00245-z"
"33070123","A review on preventive role of ketogenic diet (KD) in CNS disorders from the gut microbiota perspective","Rawat K, Singh N, Kumari P, Saha L.","Rev Neurosci. 2020 Oct 19;32(2):143-157. doi: 10.1515/revneuro-2020-0078. Print 2021 Feb 23.","Rawat K","Rev Neurosci","2020","2020/10/18","","","10.1515/revneuro-2020-0078"
"34430117","Fecal Microbiota Transplantation: A Microbiome Modulation Technique for Alzheimer's Disease","Nandwana V, Debbarma S.","Cureus. 2021 Jul 20;13(7):e16503. doi: 10.7759/cureus.16503. eCollection 2021 Jul.","Nandwana V","Cureus","2021","2021/08/25","PMC8374998","","10.7759/cureus.16503"
"34422879","Memorable Food: Fighting Age-Related Neurodegeneration by Precision Nutrition","Milošević M, Arsić A, Cvetković Z, Vučić V.","Front Nutr. 2021 Aug 5;8:688086. doi: 10.3389/fnut.2021.688086. eCollection 2021.","Milošević M","Front Nutr","2021","2021/08/23","PMC8374314","","10.3389/fnut.2021.688086"
"34566874","Intestinal Decontamination Therapy for Dyskinesia and Motor Fluctuations in Parkinson's Disease","Baizabal-Carvallo JF, Alonso-Juarez M, Fekete R.","Front Neurol. 2021 Sep 10;12:729961. doi: 10.3389/fneur.2021.729961. eCollection 2021.","Baizabal-Carvallo JF","Front Neurol","2021","2021/09/27","PMC8461169","","10.3389/fneur.2021.729961"
"33803607","Fermented Soy Products: Beneficial Potential in Neurodegenerative Diseases","Jang CH, Oh J, Lim JS, Kim HJ, Kim JS.","Foods. 2021 Mar 18;10(3):636. doi: 10.3390/foods10030636.","Jang CH","Foods","2021","2021/04/03","PMC8003083","","10.3390/foods10030636"
"34836918","Footprints of a microbial toxin from the gut microbiome to mesencephalic mitochondria","Esteves AR, Munoz-Pinto MF, Nunes-Costa D, Candeias E, Silva DF, Magalhães JD, Pereira-Santos AR, Ferreira IL, Alarico S, Tiago I, Empadinhas N, Cardoso SM.","Gut. 2023 Jan;72(1):73-89. doi: 10.1136/gutjnl-2021-326023. Epub 2021 Nov 26.","Esteves AR","Gut","2023","2021/11/27","PMC9763194","","10.1136/gutjnl-2021-326023"
"35002935","Mediterranean Diet Adherence in People With Parkinson's Disease Reduces Constipation Symptoms and Changes Fecal Microbiota After a 5-Week Single-Arm Pilot Study","Rusch C, Beke M, Tucciarone L, Nieves C Jr, Ukhanova M, Tagliamonte MS, Mai V, Suh JH, Wang Y, Chiu S, Patel B, Ramirez-Zamora A, Langkamp-Henken B.","Front Neurol. 2021 Dec 23;12:794640. doi: 10.3389/fneur.2021.794640. eCollection 2021.","Rusch C","Front Neurol","2021","2022/01/10","PMC8733603","","10.3389/fneur.2021.794640"
"33154567","Using multi-organ culture systems to study Parkinson's disease","Reiner O, Sapir T, Parichha A.","Mol Psychiatry. 2021 Mar;26(3):725-735. doi: 10.1038/s41380-020-00936-8. Epub 2020 Nov 5.","Reiner O","Mol Psychiatry","2021","2020/11/06","PMC7643717","","10.1038/s41380-020-00936-8"
"34032647","Production of Psychoactive Metabolites by Gut Bacteria","Wiley NC, Cryan JF, Dinan TG, Ross RP, Stanton C.","Mod Trends Psychiatry. 2021;32:74-99. doi: 10.1159/000510419. Epub 2021 May 6.","Wiley NC","Mod Trends Psychiatry","2021","2021/05/25","","","10.1159/000510419"
"34347266","Fecal Microbiota Transplantation Exerts a Protective Role in MPTP-Induced Parkinson's Disease via the TLR4/PI3K/AKT/NF-κB Pathway Stimulated by α-Synuclein","Zhong Z, Chen W, Gao H, Che N, Xu M, Yang L, Zhang Y, Ye M.","Neurochem Res. 2021 Nov;46(11):3050-3058. doi: 10.1007/s11064-021-03411-0. Epub 2021 Aug 4.","Zhong Z","Neurochem Res","2021","2021/08/04","","","10.1007/s11064-021-03411-0"
"33717189","Microbiome or Infections: Amyloid-Containing Biofilms as a Trigger for Complex Human Diseases","Miller AL, Bessho S, Grando K, Tükel Ç.","Front Immunol. 2021 Feb 26;12:638867. doi: 10.3389/fimmu.2021.638867. eCollection 2021.","Miller AL","Front Immunol","2021","2021/03/15","PMC7952436","","10.3389/fimmu.2021.638867"
"34012926","Desulfovibrio Bacteria Are Associated With Parkinson's Disease","Murros KE, Huynh VA, Takala TM, Saris PEJ.","Front Cell Infect Microbiol. 2021 May 3;11:652617. doi: 10.3389/fcimb.2021.652617. eCollection 2021.","Murros KE","Front Cell Infect Microbiol","2021","2021/05/20","PMC8126658","","10.3389/fcimb.2021.652617"
"33327916","Modulation of Gut-Brain Axis by Probiotics: A Promising Anti-depressant Approach","Rajanala K, Kumar N, Chamallamudi MR.","Curr Neuropharmacol. 2021;19(7):990-1006. doi: 10.2174/1570159X19666201215142520.","Rajanala K","Curr Neuropharmacol","2021","2020/12/17","PMC8686316","","10.2174/1570159X19666201215142520"
"33963284","Molecular mechanisms underlying the antidepressant actions of arketamine: beyond the NMDA receptor","Wei Y, Chang L, Hashimoto K.","Mol Psychiatry. 2022 Jan;27(1):559-573. doi: 10.1038/s41380-021-01121-1. Epub 2021 May 7.","Wei Y","Mol Psychiatry","2022","2021/05/08","PMC8960399","","10.1038/s41380-021-01121-1"
"34795270","Micronutrient supplements can promote disruptive protozoan and fungal communities in the developing infant gut","Popovic A, Bourdon C, Wang PW, Guttman DS, Soofi S, Bhutta ZA, Bandsma RHJ, Parkinson J, Pell LG.","Nat Commun. 2021 Nov 18;12(1):6729. doi: 10.1038/s41467-021-27010-3.","Popovic A","Nat Commun","2021","2021/11/19","PMC8602372","","10.1038/s41467-021-27010-3"
"33704660","Modulating neuroinflammation in neurodegeneration-related dementia: can microglial toll-like receptors pull the plug?","Tiwari RK, Moin A, Rizvi SMD, Shahid SMA, Bajpai P.","Metab Brain Dis. 2021 Jun;36(5):829-847. doi: 10.1007/s11011-021-00696-6. Epub 2021 Mar 11.","Tiwari RK","Metab Brain Dis","2021","2021/03/11","","","10.1007/s11011-021-00696-6"
"34402617","Advances in Genome-Scale Metabolic Modeling toward Microbial Community Analysis of the Human Microbiome","Esvap E, Ulgen KO.","ACS Synth Biol. 2021 Sep 17;10(9):2121-2137. doi: 10.1021/acssynbio.1c00140. Epub 2021 Aug 17.","Esvap E","ACS Synth Biol","2021","2021/08/17","","","10.1021/acssynbio.1c00140"
"34829716","The Emerging Scenario of the Gut-Brain Axis: The Therapeutic Actions of the New Actor Kefir against Neurodegenerative Diseases","Pereira TMC, Côco LZ, Ton AMM, Meyrelles SS, Campos-Toimil M, Campagnaro BP, Vasquez EC.","Antioxidants (Basel). 2021 Nov 20;10(11):1845. doi: 10.3390/antiox10111845.","Pereira TMC","Antioxidants (Basel)","2021","2021/11/27","PMC8614795","","10.3390/antiox10111845"
"33166735","Dysbiosis is one of the risk factor for stroke and cognitive impairment and potential target for treatment","Koszewicz M, Jaroch J, Brzecka A, Ejma M, Budrewicz S, Mikhaleva LM, Muresanu C, Schield P, Somasundaram SG, Kirkland CE, Avila-Rodriguez M, Aliev G.","Pharmacol Res. 2021 Feb;164:105277. doi: 10.1016/j.phrs.2020.105277. Epub 2020 Nov 7.","Koszewicz M","Pharmacol Res","2021","2020/11/09","","","10.1016/j.phrs.2020.105277"
"34769091","Small Intestinal Bacterial Overgrowth as Potential Therapeutic Target in Parkinson's Disease","Dănău A, Dumitrescu L, Lefter A, Tulbă D, Popescu BO.","Int J Mol Sci. 2021 Oct 28;22(21):11663. doi: 10.3390/ijms222111663.","Dănău A","Int J Mol Sci","2021","2021/11/13","PMC8584211","","10.3390/ijms222111663"
"34909657","Gauging the role and impact of drug interactions and repurposing in neurodegenerative disorders","Khatri DK, Kadbhane A, Patel M, Nene S, Atmakuri S, Srivastava S, Singh SB.","Curr Res Pharmacol Drug Discov. 2021 Apr 8;2:100022. doi: 10.1016/j.crphar.2021.100022. eCollection 2021.","Khatri DK","Curr Res Pharmacol Drug Discov","2021","2021/12/15","PMC8663985","","10.1016/j.crphar.2021.100022"
"33571701","The pleiotropic neuroprotective effects of resveratrol in cognitive decline and Alzheimer's disease pathology: From antioxidant to epigenetic therapy","Griñán-Ferré C, Bellver-Sanchis A, Izquierdo V, Corpas R, Roig-Soriano J, Chillón M, Andres-Lacueva C, Somogyvári M, Sőti C, Sanfeliu C, Pallàs M.","Ageing Res Rev. 2021 May;67:101271. doi: 10.1016/j.arr.2021.101271. Epub 2021 Feb 8.","Griñán-Ferré C","Ageing Res Rev","2021","2021/02/11","","","10.1016/j.arr.2021.101271"
"33063712","The emerging role of probiotics in neurodegenerative diseases: new hope for Parkinson's disease?","Castelli V, d'Angelo M, Quintiliani M, Benedetti E, Cifone MG, Cimini A.","Neural Regen Res. 2021 Apr;16(4):628-634. doi: 10.4103/1673-5374.295270.","Castelli V","Neural Regen Res","2021","2020/10/16","PMC8067943","","10.4103/1673-5374.295270"
"33417221","Pathophysiological Clues to How the Emergent SARS-CoV-2 Can Potentially Increase the Susceptibility to Neurodegeneration","Dolatshahi M, Sabahi M, Aarabi MH.","Mol Neurobiol. 2021 May;58(5):2379-2394. doi: 10.1007/s12035-020-02236-2. Epub 2021 Jan 8.","Dolatshahi M","Mol Neurobiol","2021","2021/01/08","PMC7791539","","10.1007/s12035-020-02236-2"
"35035709","An analysis of the characteristics of the intestinal flora in patients with Parkinson's disease complicated with constipation","Chen W, Bi Z, Zhu Q, Gao H, Fan Y, Zhang C, Liu X, Ye M.","Am J Transl Res. 2021 Dec 15;13(12):13710-13722. eCollection 2021.","Chen W","Am J Transl Res","2021","2022/01/17","PMC8748098","",""
"33935107","Plasma Short-Chain Fatty Acids Differences in Multiple System Atrophy from Parkinson's Disease","He X, Qian Y, Xu S, Zhang Y, Mo C, Guo W, Yang X, Xiao Q.","J Parkinsons Dis. 2021;11(3):1167-1176. doi: 10.3233/JPD-212604.","He X","J Parkinsons Dis","2021","2021/05/03","","","10.3233/JPD-212604"
"33662500","Korean red ginseng suppresses 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine-induced inflammation in the substantia nigra and colon","Jeon H, Bae CH, Lee Y, Kim HY, Kim S.","Brain Behav Immun. 2021 May;94:410-423. doi: 10.1016/j.bbi.2021.02.028. Epub 2021 Mar 2.","Jeon H","Brain Behav Immun","2021","2021/03/04","","","10.1016/j.bbi.2021.02.028"
"34413194","Genome-wide screen identifies curli amyloid fibril as a bacterial component promoting host neurodegeneration","Wang C, Lau CY, Ma F, Zheng C.","Proc Natl Acad Sci U S A. 2021 Aug 24;118(34):e2106504118. doi: 10.1073/pnas.2106504118.","Wang C","Proc Natl Acad Sci U S A","2021","2021/08/20","PMC8403922","","10.1073/pnas.2106504118"
"34783227","Response of Escherichia coli to hydrogen nanobubbles: an in vitro evaluation using synchrotron infrared spectroscopy","Lu J, Zheng J, Wang Y, Cheng J, Li X, Hu J, Li B, Lü J.","J Zhejiang Univ Sci B. 2021 Nov 15;22(11):966-970. doi: 10.1631/jzus.B2100407.","Lu J","J Zhejiang Univ Sci B","2021","2021/11/16","PMC8593523","","10.1631/jzus.B2100407"
"34802221","From the intestinal mucosal barrier to the enteric neuromuscular compartment: an integrated overview on the morphological changes in Parkinson's disease","Pellegrini C, D'Antongiovanni V, Ippolito C, Segnani C, Antonioli L, Fornai M, Bernardini N.","Eur J Histochem. 2021 Nov 22;65(s1):3278. doi: 10.4081/ejh.2021.3278.","Pellegrini C","Eur J Histochem","2021","2021/11/22","PMC8636839","","10.4081/ejh.2021.3278"
"34911958","Gut bacterial tyrosine decarboxylase associates with clinical variables in a longitudinal cohort study of Parkinsons disease","van Kessel SP, Auvinen P, Scheperjans F, El Aidy S.","NPJ Parkinsons Dis. 2021 Dec 15;7(1):115. doi: 10.1038/s41531-021-00260-0.","van Kessel SP","NPJ Parkinsons Dis","2021","2021/12/16","PMC8674283","","10.1038/s41531-021-00260-0"
